,mag_g,frequency
0,-1.972,0.005227272727272727
1,-1.78984375,0.006318181818181818
2,-1.6076875,0.008681818181818181
3,-1.4255312500000001,0.009909090909090909
4,-1.243375,0.011636363636363636
5,-1.06121875,0.0125
6,-0.8790625000000001,0.014909090909090908
7,-0.6969062500000001,0.0185
8,-0.51475,0.024681818181818183
9,-0.33259375,0.028954545454545455
10,-0.1504375,0.03709090909090909
11,0.03171875000000002,0.0255
12,0.21387499999999982,0.04363636363636364
13,0.39603125000000006,0.0905
14,0.5781874999999999,0.16695454545454547
15,0.7603437500000001,0.011681818181818182
16,0.9424999999999999,0.028272727272727272
17,1.1246562499999997,0.07722727272727273
18,1.3068125,0.012636363636363637
19,1.4889687499999997,0.018363636363636363
20,1.671125,0.009181818181818182
21,1.8532812499999998,0.009681818181818182
22,2.0354375,0.011136363636363637
23,2.2175937500000003,0.012772727272727272
24,2.3997499999999996,0.01440909090909091
25,2.58190625,0.016772727272727272
26,2.7640625,0.019454545454545454
27,2.9462187499999994,0.035227272727272725
28,3.1283749999999997,0.026363636363636363
29,3.31053125,0.009954545454545454
30,3.4926875,0.016272727272727272
31,3.6748437499999995,0.019545454545454546
32,3.8569999999999998,0.014545454545454545
33,4.03915625,0.004090909090909091
34,4.2213125,0.004318181818181818
35,4.40346875,0.004636363636363636
36,4.585625,0.004636363636363636
37,4.7677812500000005,0.0047272727272727275
38,4.949937499999999,0.004909090909090909
39,5.132093749999999,0.0049545454545454545
40,5.3142499999999995,0.0055
41,5.49640625,0.005909090909090909
42,5.6785625,0.0059545454545454546
43,5.86071875,0.006
44,6.042875,0.005590909090909091
45,6.225031250000001,0.005681818181818182
46,6.407187500000001,0.005363636363636364
47,6.589343749999999,0.005090909090909091
48,6.7715,0.0051818181818181815
49,6.95365625,0.0047272727272727275
50,7.1358125,0.004818181818181818
51,7.31796875,0.004454545454545455
52,7.500125000000001,0.004454545454545455
53,7.682281250000001,0.004136363636363636
54,7.864437499999999,0.004090909090909091
55,8.04659375,0.004590909090909091
56,8.22875,0.004318181818181818
57,8.41090625,0.004409090909090909
58,8.5930625,0.0030454545454545456
59,8.77521875,0.0011363636363636363
60,8.957375,0.001090909090909091
61,9.13953125,0.0011818181818181819
62,9.3216875,0.0012727272727272728
63,9.50384375,0.0012272727272727272
